Lat,Long,Species,Lifestage,Sex,Site,Year, Ag  , As  , Ba   , Be  , Bi  , Cd  , Co   , Cu  , Fe   , Ga  , Hg , Li  , Mn   , Mo  , Ni  , Pb  , Rb  , Sb  , Se  , Sn  , Sr  , Tl  , U  , V   , Zn  
54.1444491,-113.911313,Muskrat,Unknown,Male,A8,2014,0,0.021,0.263,0,0.011,0.005,0.105,8.2,733,0.011,0.0057,0.088,8.8,0.248,0.051,0.012,1.56,0,0.98,0,1.575,0,0,0.048,80.2
54.1444491,-113.911313,Muskrat,Unknown,Male,A8,2014,0,0,0.381,0,0.027,0.008,0.217,5.85,1265,0.016,0.0056,0.041,8.7,1.37,0.165,0.025,2.8,0,0.48,0,1.092,0,0,0.044,70
54.1444491,-113.911313,Muskrat,Unknown,Female,A8,2014,0,0.039,0.189,0,0.018,0.006,0.278,4.23,696,0.009,0.0028,0.082,11.16,0.33,0.036,0.017,1.1,0,1.19,0,1.247,0,0,0.047,70.4
54.1444491,-113.911313,Muskrat,Unknown,Female,A8,2014,0,0,0.429,0,0.016,0.008,0.19,5.05,1581,0.018,0.0016,0.069,11.8,1.26,0.264,0.013,4.84,0,1.18,0,1.51,0.001,0,0.043,85
54.1444491,-113.911313,Muskrat,Unknown,Male,A8,2014,0,0.048,0.274,0,0.01,0.066,0.329,8.54,1014,0.011,0.0074,0.064,16.54,1.71,0.104,0.354,6.75,0,1.43,0.011,1.489,0,0,0.044,104
54.1444491,-113.911313,Muskrat,Unknown,Male,A8,2014,0,0,0.191,0,0.016,0.01,0.192,5.94,1111,0.01,0.0033,0.06,6.14,1.38,0.093,0.014,3.63,0,0.73,0,1.152,0,0,0.038,72.1
54.1444491,-113.911313,Muskrat,Unknown,Female,A8,2014,0,0.076,0.242,0,0.035,0.024,0.245,7.64,1091,0.011,0.0024,0.113,7.83,0.556,0.132,0.013,1.67,0,1.26,0,2.059,0.001,0,0.047,68.1
54.1444491,-113.911313,Muskrat,Unknown,Male,A8,2014,0,0,0.257,0,0.019,0.006,0.213,5.75,935,0.012,0.0025,0.064,8.02,1.15,0.091,0.01,4.18,0,0.96,0,1.27,0,0,0.045,79.6
54.33458117,-118.9522727,Marten,Unknown,Male,A9,2013,0.009,0.171,0.107,0,0.006,4.18,0.049,24.9,3823,0.01,0.104,0.013,21.3,1.88,0.119,0.028,38.9,0,4.84,0,0.116,0.001,0,0.121,119
54.33458117,-118.9522727,Marten,Unknown,Male,A9,2013,0.004,0.191,0.108,0,0.012,0.972,0.075,28.6,1579,0.011,0.165,0.015,22.9,3.37,1.24,0.046,36.3,0.022,5.33,0.017,0.145,0.004,0,0.12,155
54.33458117,-118.9522727,Marten,Unknown,Male,A9,2013,0.015,0.324,0.067,0,0.018,5.65,0.1,37.7,2746,0.008,0.308,0.018,34.7,3.4,0.141,0.036,43.8,0.006,6.12,0.007,0.11,0.002,0,0.117,193
54.33458117,-118.9522727,Marten,Unknown,Female,A9,2013,0.017,0.244,0.386,0,0.007,3.61,0.244,27.1,2206,0.02,0.168,0.014,22.8,5.65,11.87,0.012,42.7,0,6.34,0.012,0.203,0.004,0,0.175,121
54.33458117,-118.9522727,Marten,Unknown,Female,A9,2013,0.02,0.36,0.267,0,0.005,5.96,0.099,33.3,2630,0.015,0.141,0.022,26.8,2.9,0.22,0.016,25.7,0.01,6,0.009,0.338,0.005,0,0.119,157
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.06,1.15,0,0,0,0,3.82,137.55,0.04,0.650647461,0.03,3.01,0.18,0.3,0,8.52,0.01,2.55,,4.23,0.01,0,0.11,63.6
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0,1.04,0,0,0,0,3.37,160.15,0.04,0.725360291,0.08,2.72,0.23,0.65,0,7.5,0,2.54,0,5.22,0,0,0.1,61.85
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.03,1.04,0,0,0,0,3.14,185.28,0.04,0.326126495,0.03,2.26,0.11,0.29,0,7.05,0,1.9,0,2.98,0,0,0.07,51.37
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.08,0.98,0,0,0,0,2.92,126.94,0.04,0.427140381,0.04,1.62,0.13,0.13,0,7.89,0,2.45,0.05,3.44,0,0,0.12,57.18
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.05,1.65,0,0,0,0,2.66,110.19,0.06,0.394233917,0.1,2.37,0.15,0.11,0,7.41,0,2.55,0,3.62,0.01,0,0.12,57.74
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.05,0.86,0,0,0,0,2.6,158.11,0.03,0.380658997,0.07,2.35,0.11,0.32,0,9.83,0,2,0,3.49,0,0,0.1,53.37
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.09,0.88,0,0,0,0,2.66,111.46,0.03,0.359193268,0.1,1.29,0.09,0.21,0,9.14,0.03,2.1,0,3.24,0,0,0.06,52.05
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.03,1.02,0,0,0,0,3.92,124.34,0.04,0.377893494,0.06,3.15,0.23,0.51,0,9.01,0,3.05,0,5.42,0.01,0,0.14,61.42
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.03,2.15,0,0,0,0,3,124.24,0.07,0.471149841,0.08,2.18,0.16,0.42,0,9.04,0,2.2,0,4.52,0.01,0,0.11,60.68
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.03,0.98,0,0,0,0,2.81,93.24,0.04,0.753748596,0.04,2.47,0.17,0.69,0,7.6,0,2.34,0,4.75,0.01,0,0.08,51.59
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.1,1.48,0,0,0,0,2.82,90.69,0.05,0.256877625,0.09,1.78,0.14,0.3,0,9.15,0,2.34,0,3.73,0,0,0.1,58.58
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0,0.94,0,0,0,0,3.81,135.24,0.03,0.578729126,0.11,1.65,0.13,0.45,0,7.9,0,1.79,0,4.28,0.01,0,0.08,51.25
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0,0.74,0,0,0,0,3.05,131.68,0.03,0.311532806,0.07,1.66,0.18,0.35,0,8.53,0,2.19,0,4.08,0.01,0,0.08,58.63
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.04,2.18,0,0,0,0,2.9,100.41,0.07,0.413348022,0.09,2.14,0.21,0.57,0,8.06,0,2.45,0,6.46,0.01,0,0.09,70.77
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0,2.02,0,0,0,0,2.84,171.78,0.07,0.167459991,0.04,2.43,0.2,0.67,0,8.81,0,2.42,0,5.91,0.01,0,0.12,71.59
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.02,1.46,0,0,0,0,3.27,153.02,0.05,0.345770081,0.04,2.28,0.16,0.39,0,6.53,0,1.81,0,4.65,0,0,0.07,62.06
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.08,1.38,0,0,0,0.12,2.65,141.66,0.05,0.275117188,0.02,3.22,0.18,0.42,0,9.65,0,2.22,0,3.92,0,0,0.13,62.36
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.08,0.7,0,0,0,0,2.34,119.11,0.03,0.888208313,0.03,3.28,0.13,0.55,0,7.08,0,2.47,0,2.96,0.01,0,0.13,52.23
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.04,1.37,0,0,0,0,3.19,122.44,0.05,0.631548706,0.05,2.23,0.24,0.76,0,10.66,0,2.38,0,6.71,0.01,0,0.16,63.32
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.03,0.62,0,0,0,0,2.77,133.95,0.02,0.230660133,0.11,2.79,0.17,0.88,0,9.5,0,2.31,0,5.13,0.01,0,0.1,53.54
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0,1.18,0,0.01,0,0,3.47,136.58,0.04,0.654445557,0.03,3.18,0.26,0.9,0,8.68,0.01,2.15,0,6.32,0.01,0,0.08,62.68
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.08,0.78,0,0,0,0,2.69,111.4,0.03,0.626356262,0.04,2.98,0.09,0.11,0,7.56,0,1.92,0,2.95,0,0,0.07,56.67
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0.02,1.41,0,0,0,0,2.59,132.07,0.05,0.412288269,0.03,3.45,0.14,0.21,0,9.19,0,1.77,0.03,3.21,0,0,0.12,55.94
54.84,-111.99,Gull ,Egg,Unknown,A16,2014,0,0,1.11,0,0,0,0,2.43,117.87,0.04,0.509337006,0.05,3.44,0.13,0.23,0,8.05,0,1.84,0,2.86,0,0,0.09,51.64
